year,state,energy,share
2002-01-01,CA,12.975,0.020644916
2003-01-01,CA,13.291,0.02020354
2004-01-01,CA,14.692,0.022106879
2005-01-01,CA,14.543,0.021278614
2006-01-01,CA,16.660,0.022523271
2007-01-01,CA,19.056,0.026488402
2008-01-01,CA,18.373,0.025891415
2009-01-01,CA,19.925,0.028518828
2010-01-01,CA,20.740,0.02978048
2011-01-01,CA,26.449,0.038604809
2012-01-01,CA,33.281,0.048888065
2013-01-01,CA,43.749,0.075
2014-01-01,CA,44.330,0.072
2015-01-01,CA,41.727,0.07
2016-01-01,CA,46.093,0.068
2017-01-01,CA,43.752,0.065
2002-01-01,CO,0.474,0.003048246
2003-01-01,CO,0.502,0.003153424
2004-01-01,CO,0.751,0.004595876
2005-01-01,CO,2.649,0.015640431
2006-01-01,CO,2.953,0.017081205
2007-01-01,CO,4.407,0.023966758
2008-01-01,CO,10.990,0.060272076
2009-01-01,CO,10.795,0.062571688
2010-01-01,CO,11.778,0.068061279
2011-01-01,CO,17.743,0.101102405
2012-01-01,CO,20.365,0.113574092
2013-01-01,CO,24.579,0.136086291
2014-01-01,CO,25.142,0.135954393
2015-01-01,CO,25.506,0.141617566
2016-01-01,CO,32.145,0.17166858
2017-01-01,CO,31.782,0.171313495
2002-01-01,IA,3.135,0.021609293
2003-01-01,IA,3.350,0.023316001
2004-01-01,IA,3.582,0.024278579
2005-01-01,IA,5.620,0.03729873
2006-01-01,IA,7.908,0.050964096
2007-01-01,IA,9.406,0.055372565
2008-01-01,IA,13.934,0.076931771
2009-01-01,IA,25.319,0.143099558
2010-01-01,IA,31.289,0.159453303
2011-01-01,IA,36.540,0.189973568
2012-01-01,IA,47.879,0.24758712
2013-01-01,IA,53.119,0.274713252
2014-01-01,IA,55.639,0.286701361
2015-01-01,IA,60.981,0.315226018
2016-01-01,IA,68.486,0.368618233
2017-01-01,IA,72.924,0.39
2002-01-01,IL,,0
2003-01-01,IL,0.061,9.52104E-05
2004-01-01,IL,0.266,0.000406337
2005-01-01,IL,0.482,0.000726351
2006-01-01,IL,0.869,0.001325185
2007-01-01,IL,2.267,0.003315673
2008-01-01,IL,7.974,0.011715695
2009-01-01,IL,9.620,0.014546205
2010-01-01,IL,15.196,0.022120356
2011-01-01,IL,21.199,0.031143013
2012-01-01,IL,26.364,0.039111179
2013-01-01,IL,32.841,0.042
2014-01-01,IL,34.403,0.043
2015-01-01,IL,36.670,0.05
2016-01-01,IL,36.384,0.052
2017-01-01,IL,41.858,0.054
2002-01-01,KS,1.592,0.009896374
2003-01-01,KS,1.249,0.007859474
2004-01-01,KS,1.224,0.007673564
2005-01-01,KS,1.453,0.009288736
2006-01-01,KS,3.384,0.021791182
2007-01-01,KS,3.932,0.023003412
2008-01-01,KS,6.003,0.037722496
2009-01-01,KS,9.769,0.061336418
2010-01-01,KS,11.618,0.071051478
2011-01-01,KS,12.693,0.082008774
2012-01-01,KS,17.726,0.116938661
2013-01-01,KS,32.186,0.194607196
2014-01-01,KS,37.003,0.218073234
2015-01-01,KS,37.527,0.241561066
2016-01-01,KS,48.146,0.296399765
2017-01-01,KS,63.457,0.36501737
2002-01-01,MN,3.091,0.017166244
2003-01-01,MN,3.336,0.017765022
2004-01-01,MN,2.772,0.015506837
2005-01-01,MN,5.399,0.02983836
2006-01-01,MN,7.011,0.038600973
2007-01-01,MN,9.004,0.048441573
2008-01-01,MN,14.858,0.079523044
2009-01-01,MN,17.241,0.096264121
2010-01-01,MN,16.349,0.089284716
2011-01-01,MN,22.948,0.126616592
2012-01-01,MN,27.897,0.154983508
2013-01-01,MN,28.179,0.161000429
2014-01-01,MN,33.066,0.169963871
2015-01-01,MN,33.365,0.171543346
2016-01-01,MN,33.893,0.166899101
2017-01-01,MN,38.000,0.189378996
2002-01-01,ND,,0
2003-01-01,ND,0.201,0.00188366
2004-01-01,ND,0.732,0.007181988
2005-01-01,ND,0.752,0.00688964
2006-01-01,ND,1.261,0.011949095
2007-01-01,ND,2.118,0.019887273
2008-01-01,ND,5.778,0.051719924
2009-01-01,ND,10.228,0.087665945
2010-01-01,ND,13.974,0.117907827
2011-01-01,ND,17.864,0.149258837
2012-01-01,ND,17.997,0.146016719
2013-01-01,ND,18.831,0.15759116
2014-01-01,ND,21.163,0.170099558
2015-01-01,ND,22.197,0.17509958
2016-01-01,ND,27.883,0.215870668
2017-01-01,ND,38.758,0.273684464
2002-01-01,OK,,0
2003-01-01,OK,0.186,0.000890722
2004-01-01,OK,1.954,0.009435205
2005-01-01,OK,2.893,0.012360255
2006-01-01,OK,5.843,0.024244141
2007-01-01,OK,6.309,0.025392073
2008-01-01,OK,8.046,0.030892583
2009-01-01,OK,9.206,0.035941705
2010-01-01,OK,12.993,0.052704423
2011-01-01,OK,19.125,0.075126999
2012-01-01,OK,27.834,0.104728038
2013-01-01,OK,38.086,0.151507336
2014-01-01,OK,40.728,0.170149381
2015-01-01,OK,47.873,0.18428138
2016-01-01,OK,68.476,0.255142516
2017-01-01,OK,80.519,0.320038515
2002-01-01,TX,9.063,0.006887485
2003-01-01,TX,8.768,0.006777444
2004-01-01,TX,10.706,0.008039969
2005-01-01,TX,14.457,0.010681477
2006-01-01,TX,22.760,0.016653269
2007-01-01,TX,30.730,0.022210111
2008-01-01,TX,55.360,0.04008271
2009-01-01,TX,68.329,0.050421988
2010-01-01,TX,89.570,0.063763378
2011-01-01,TX,104.230,0.070148366
2012-01-01,TX,109.915,0.074949222
2013-01-01,TX,122.401,0.082777239
2014-01-01,TX,136.497,0.091378802
2015-01-01,TX,152.971,0.099618263
2016-01-01,TX,196.295,0.126598128
2017-01-01,TX,228.812,0.147949346
